Country,X_deg,Y_deg,Pop,ElecPop,GridCellArea,NightLights,IsUrban,GHI,WindVel,TravelHours,Elevation,Slope,LandCover,SubstationDist,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,GridDistCurrent,GridDistPlan,TransformerDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,NumPeoplePerHH,PerCapitaDemand,AgriDemand,HealthDemand,EducationDemand,CommercialDemand,ElectrificationOrder,Conflict,mean_rwi,productive_multiplier_osm,n_health_combined,n_education_combined,anchor_load_kwh_yr,growth_factor,pop_2030_worldpop,admin1_name,admin2_name
,1.796218,10.381619,36,0,0.001,0,0,2027.5,3.0,0.312,200.0,0.5,5,46.682,46.81,46.361,46.682,46.361,46.682,46.361,46.682,9.447,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,0.112,0.2,0,0,0.0,1.1044,23,Atakora,Kouandé
,2.696942,7.697533,67,0,0.001,0,0,1739.7,3.0,0.776,200.0,0.5,5,58.283,4.654,92.638,58.283,92.638,4.654,92.638,58.283,5.582,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.235,0.2,0,0,0.0,1.0916,43,Collines,Savè
,1.09711,10.30736,62,0,0.001,0,0,1987.3,3.0,0.341,200.0,0.5,5,33.968,34.164,28.232,33.968,28.232,33.968,28.232,33.968,2.244,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.215,0.2,0,1,0.0,1.1044,37,Atakora,Boukoumbé
,1.475437,9.254305,57,0,0.001,0,0,1957.4,3.0,0.869,200.0,0.5,5,48.832,47.124,25.75,48.832,25.75,47.124,25.75,48.832,3.725,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.726,0.2,0,0,0.0,0.9,49,Donga,Bassila
,2.037326,6.675896,54,0,0.001,0,0,1722.5,3.0,0.286,200.0,0.5,5,1.221,0.354,0.323,1.221,0.323,0.354,0.323,1.221,0.4,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,0.201,0.5011,1,1,0.0,1.0185,55,Atlantique,Allada
,1.729152,7.029383,425,0,0.001,0,0,1786.4,3.0,0.228,200.0,0.5,5,7.977,16.578,5.376,7.977,5.376,7.977,5.376,7.977,2.305,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.43,0.2,0,0,0.0,0.9907,211,Kouffo,Aplahoué
,2.009228,10.243539,80,0,0.001,0,0,2024.2,3.0,0.039,200.0,0.5,5,41.297,61.362,66.648,41.297,66.648,41.297,66.648,41.297,0.973,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.018,0.2,0,0,0.0,0.9,68,Atakora,Péhunco
,2.381329,11.117293,62,0,0.001,0,0,2058.2,3.0,0.282,200.0,0.5,5,19.889,105.314,20.712,19.889,20.712,19.889,20.712,19.889,10.883,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.198,0.2,0,0,0.0,1.053,44,Alibori,Banikoara
,2.021506,6.650926,332,0,0.001,0,0,1726.9,3.0,0.196,200.0,0.5,5,1.779,3.528,3.08,1.779,3.08,1.779,3.08,1.779,0.0,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.052,0.2,0,0,0.0,2.0,167,Atlantique,Allada
,3.021178,9.583678,57,0,0.001,0,0,1928.2,3.0,0.117,200.0,0.5,5,22.533,38.814,15.432,22.533,15.432,22.533,15.432,22.533,4.974,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.43,0.2,0,0,0.0,1.2807,73,Borgou,Pèrèrè
,2.455063,11.620739,44,0,0.001,0,0,2086.3,3.0,0.452,200.0,0.5,5,36.687,158.102,36.153,36.687,36.153,36.687,36.153,36.687,7.163,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.35,0.2,0,0,0.0,1.053,31,Alibori,Banikoara
,1.61822,9.609328,54,22,0.001,50,0,1992.8,3.0,0.308,200.0,0.5,5,6.403,5.949,15.397,6.403,15.397,5.949,15.397,6.403,0.93,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.412,0.2,0,0,0.0,1.0185,55,Donga,Djougou Rural
,1.797546,9.723754,98,0,0.001,0,0,1990.6,3.0,0.361,200.0,0.5,5,17.055,11.503,30.697,17.055,30.697,11.503,30.697,17.055,0.0,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.587,0.2,0,0,0.0,1.1729,53,Donga,Djougou Rural
