lat,lon,demand,mean_rwi,hull_area,identifier,population,buffer_area,description,admin_cgaz_0,admin_cgaz_1,admin_cgaz_2,overlap_area,village_name,bf_total_area,energy_demand,num_buildings,has_nightlight,large_buildings,num_connections,small_buildings,building_density,main_road_access,medium_buildings,nearest_hub_name,pv_size_category,Buildings_per_km2,demand_connection,dist_main_road_km,dist_lake_river_km,overlap_percentage,dist_nearest_hub_km,dist_to_substations,has_health_facility,dist_to_regional_hubs,num_health_facilities,very_small_structures,closest_distance_water,has_education_facility,building_density_percent,num_education_facilities,dist_to_gridlight_targets,avg_connection_energy_demand,Medium_and_large_buildings_pc,distance_to_planned_transmission_lines,distance_to_existing_transmission_lines,dist_to_existing_planned_transmission_lines_2017,count_infrastructure_telecom,count_infrastructure_water,count_institutional_edu,count_institutional_govt,count_institutional_health,count_institutional_religious,count_productive_heavy,count_productive_light,count_productive_medium,weight_infrastructure_telecom,weight_infrastructure_water,weight_institutional_edu,weight_institutional_govt,weight_institutional_health,weight_institutional_religious,weight_productive_heavy,weight_productive_light,weight_productive_medium,has_poi_signal,productive_multiplier,n_health_combined,n_education_combined,anchor_load_kwh_yr,GHI,pop_2030_worldpop,growth_factor,admin1_name,admin2_name,dist_to_hvline_km
10.653729,1.038275,10.72,-0.576,0.030402867,13479,82,30402.867,,Benin,Atakora,Materi,0.0,Materi,0.000979286,6.944,32,False,0,32,32,0.032210314,False,0,Materi,Very small,1052.5323,0.335,16.283098,1.538,0.0,5.339,61.5118437,False,5.338869643,0,2,1.538188637,False,3.221031439,0,2.90694852,0.217,0.0,17.61522123,61.54884092,17.61522123,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,2021.659,81,0.9878,Atakora,Matéri,61.556
9.242981,2.574226,8.86,-0.831,0.021659085,7646,52,21659.085,,Benin,Borgou,Tchaourou,0.0,Tchaourou,0.001684675,6.972,20,False,2,20,16,0.077781459,True,2,Parakou,Very small,923.4000353,0.443,0.103033,3.273,0.0,12.193,9.892950179,False,12.19284338,0,2,3.272664334,False,7.778145926,0,2.149294735,0.3486,20.0,9.816287465,1.633489179,1.633489179,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1897.108,46,0.9,Borgou,Tchaourou,1.715
9.935181,3.418559,5.025,-0.034,0.00418609,17103,39,4186.09,,Benin,Borgou,Nikki,0.0,KORA SEKO KPAROU,0.000557458,3.255,15,False,0,15,15,0.133169178,False,0,,Very small,3583.295732,0.335,11.083641,1.757,0.0,5.026,23.3524263,False,5.026121658,0,3,1.757080381,False,13.31691784,0,12.08116076,0.217,0.0,59.98103353,74.64469803,59.98103353,0,1,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2,0,0,730.0,1991.708,37,0.9487,Borgou,Nikki,74.749
9.440075,2.890063,32.14,-0.696,0.161738597,8221,245,161738.597,,Benin,Borgou,Perere,0.0,Location #4166,0.004160386,21.048,95,False,0,95,94,0.025722903,False,1,Guinagourou,Very small,587.367529,0.338315789,9.832559,0.733,0.0,15.113,34.41523348,False,15.11340028,0,29,0.733366888,False,2.57229033,0,9.701558353,0.221557895,1.052631579,3.302620615,29.96258214,3.302620615,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1901.857,96,1.3884,Borgou,Pèrèrè,30.245
11.2221,2.493705,4.02,-0.593,0.012727803,15697,31,12727.803,,Benin,Alibori,Banikoara,0.0,Banikoara,0.000480126,2.604,12,False,0,12,12,0.037722636,False,0,Ounet,Very small,942.8178627,0.335,10.050703,1.63,0.0,9.545,10.58473248,False,9.545247364,0,19,1.629810957,False,3.772263649,0,8.759046005,0.217,0.0,5.785868146,114.4435521,5.785868146,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,2068.046,44,1.4194,Alibori,Banikoara,113.885
10.482933,0.857419,17.42,-0.432,0.043432169,12821,134,43432.169,,Benin,Atakora,Kobli,0.0,Location #6753,0.001602769,11.284,52,False,0,52,52,0.036902802,False,0,,Very small,1197.269233,0.335,1.927783,1.513,0.0,4.567,65.52176382,False,4.5670762,0,10,1.513265583,False,3.690280219,0,10.29358127,0.217,0.0,44.61190619,65.56875705,44.61190619,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,2001.205,47,1.1044,Atakora,Cobly,65.707
6.599538,1.756103,8.02,-0.2415,0.008254909,1532,59,8254.909,,Benin,Mono,Athieme,0.0,Kpinnou,0.001009794,5.424,23,False,0,23,22,0.122326461,False,1,Kpinnou,Very small,2786.220935,0.348695652,1.346953,0.738,0.0,2.334,7.931177861,False,2.334231507,0,3,0.737725268,False,12.23264613,0,1.045743696,0.235826087,4.347826087,2.199781805,2.238237181,2.199781805,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1725.806,54,0.9153,Mono,Lokossa,2.295
9.571833,2.992499,17.005,-0.434,0.06439215,8787,121,64392.15,,Benin,Borgou,Perere,0.0,Wondou,0.002772464,11.931,47,False,0,47,43,0.043055924,False,4,Guinagourou,Very small,729.9026338,0.361808511,3.720715,1.778,0.0,4.567,23.51676654,False,4.567136942,0,9,1.778296433,False,4.305592394,0,3.864141248,0.253851064,8.510638298,14.88400968,36.46483859,14.88400968,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1923.772,87,1.3884,Borgou,Pèrèrè,36.593
11.637778,3.456726,48.91,-0.314,0.19559723,16683,376,195597.23,,Benin,Alibori,Malanville,0.0,Malanville,0.004006026,31.682,146,False,0,146,146,0.020480996,False,0,Madécali,Small,746.4318399,0.335,3.020004,0.21,0.0,12.134,25.66735828,False,12.13430379,0,68,0.210007588,False,2.048099587,0,11.67429847,0.217,0.0,17.90112413,181.0400427,17.90112413,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,2079.368,149,1.053,Alibori,Malanville,180.853
10.381619,1.796218,4.69,0.112,0.041134067,11924,36,41134.067,,Benin,Atakora,Kouande,0.0,Kouandé,0.000449622,3.038,14,False,0,14,14,0.010930651,False,0,Kouandé,Very small,340.3504967,0.335,9.447331,0.588,0.0,12.494,46.68176466,False,12.49442292,0,13,0.587947264,False,1.093065073,0,3.777996298,0.217,0.0,46.36147496,46.63986832,46.36147496,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,2027.503,23,1.1044,Atakora,Kouandé,46.81
